layer,check,ok,value,detail
outcomes,balanced panel,True,653.0,653 occupations present in all 14 years
outcomes,nonnegative relative pay by skill bundle statistic,True,0.0,0 negative values in relative pay by skill bundle statistic
outcomes,nonnegative relative pay by skill bundle threshold,True,0.0,0 negative values in relative pay by skill bundle threshold
outcomes,"relative pay by skill bundle p-value in [0.0, 1.0]",True,0.0,"0 values of relative pay by skill bundle p-value outside [0.0, 1.0]"
outcomes,nonnegative employment-weighted skill intensity statistic,True,0.0,0 negative values in employment-weighted skill intensity statistic
outcomes,nonnegative employment-weighted skill intensity threshold,True,0.0,0 negative values in employment-weighted skill intensity threshold
outcomes,"employment-weighted skill intensity p-value in [0.0, 1.0]",True,0.0,"0 values of employment-weighted skill intensity p-value outside [0.0, 1.0]"
aei,task usage shares sum to one 2025-09-15 (2025-08-04) within 0% of expected,True,1.2212453270876722e-15,"actual 1 against expected 1, gap 0.00%"
aei,usage on statements that match an O*NET task 2025-09-15 (2025-08-04) coverage at least 90%,True,0.9187273326739201,91.9% of usage on statements that match an O*NET task 2025-09-15 (2025-08-04) covered
aei,task usage shares sum to one 2026-01-15 (2025-11-13) within 0% of expected,True,1.3322676295501878e-15,"actual 1 against expected 1, gap 0.00%"
aei,usage on statements that match an O*NET task 2026-01-15 (2025-11-13) coverage at least 90%,True,0.935143892986623,93.5% of usage on statements that match an O*NET task 2026-01-15 (2025-11-13) covered
aei,task usage shares sum to one 2026-03-24 (2026-02-05) within 0% of expected,True,4.440892098500626e-16,"actual 1 against expected 1, gap 0.00%"
aei,usage on statements that match an O*NET task 2026-03-24 (2026-02-05) coverage at least 90%,True,0.9297139999999999,93.0% of usage on statements that match an O*NET task 2026-03-24 (2026-02-05) covered
aei,usage on statements that match an O*NET task 2026-06-26 (2026-04) coverage at least 90%,True,1.0,100.0% of usage on statements that match an O*NET task 2026-06-26 (2026-04) covered
aei,usage on statements that match an O*NET task 2026-06-26 (2026-05) coverage at least 90%,True,1.0,100.0% of usage on statements that match an O*NET task 2026-06-26 (2026-05) covered
usage,share sums to one within ['soc_code'],True,1.1102230246251565e-16,largest deviation from one is 1.11e-16
usage,wage bill with task shares coverage at least 85%,True,0.915244175225329,91.5% of wage bill with task shares covered
usage,task values add to the joined wage bill within 0% of expected,True,0.0,"actual 9.9157e+12 against expected 9.9157e+12, gap 0.00%"
usage,task bundle rows sum to one (min) within 0% of expected,True,4.440892098500626e-16,"actual 1 against expected 1, gap 0.00%"
usage,task bundle rows sum to one (max) within 0% of expected,True,4.440892098500626e-16,"actual 1 against expected 1, gap 0.00%"
openai,activity shares 2026-06,True,0.9999899999999999,"165 activities, raw total 1.000 before normalising"
usage,activity shares with tasks to receive them coverage at least 90%,True,0.9748597485974859,97.5% of activity shares with tasks to receive them covered
openai,activity shares 2026-06,True,0.9999899999999999,"165 activities, raw total 1.000 before normalising"
usage,activity shares with tasks to receive them coverage at least 90%,True,0.9748597485974859,97.5% of activity shares with tasks to receive them covered
usage,nonnegative usage share,True,0.0,0 negative values in usage share
usage,"usage_share sums to one within ['platform', 'release']",True,0.0,largest deviation from one is 0.00e+00
usage,"automation plus augmentation in [0.0, 1.01]",True,0.0,"0 values of automation plus augmentation outside [0.0, 1.01]"
usage,nonnegative usage share,True,0.0,0 negative values in usage share
usage,"usage_share sums to one within ['platform', 'release']",True,0.0,largest deviation from one is 0.00e+00
usage,"automation plus augmentation in [0.0, 1.01]",True,0.0,"0 values of automation plus augmentation outside [0.0, 1.01]"
usage,nonnegative usage share,True,0.0,0 negative values in usage share
usage,"usage_share sums to one within ['platform', 'release']",True,0.0,largest deviation from one is 0.00e+00
usage,"automation plus augmentation in [0.0, 1.01]",True,0.0,"0 values of automation plus augmentation outside [0.0, 1.01]"
usage,nonnegative usage share,True,0.0,0 negative values in usage share
usage,"usage_share sums to one within ['platform', 'release']",True,0.0,largest deviation from one is 0.00e+00
usage,nonnegative usage share,True,0.0,0 negative values in usage share
usage,"usage_share sums to one within ['platform', 'release']",True,0.0,largest deviation from one is 0.00e+00
usage,nonnegative usage share,True,0.0,0 negative values in usage share
usage,"usage_share sums to one within ['platform', 'release']",True,0.0,largest deviation from one is 0.00e+00
usage,nonnegative usage share,True,0.0,0 negative values in usage share
usage,"usage_share sums to one within ['platform', 'release']",True,0.0,largest deviation from one is 0.00e+00
usage,task values with a gamma row coverage at least 95%,True,1.0,100.0% of task values with a gamma row covered
usage,reach anthropic 2025-09-15 (2025-08-04) never exceeds its whole,True,0.0,0 rows where the part exceeds the whole
usage,usage matched to a valued task anthropic 2025-09-15 (2025-08-04),True,0.7750203982137598,77.5% of usage share lands on tasks with a value
usage,reach anthropic 2026-01-15 (2025-11-13) never exceeds its whole,True,0.0,0 rows where the part exceeds the whole
usage,usage matched to a valued task anthropic 2026-01-15 (2025-11-13),True,0.7536274353574814,75.4% of usage share lands on tasks with a value
usage,reach anthropic 2026-03-24 (2026-02-05) never exceeds its whole,True,0.0,0 rows where the part exceeds the whole
usage,usage matched to a valued task anthropic 2026-03-24 (2026-02-05),True,0.7718803847204625,77.2% of usage share lands on tasks with a value
usage,reach anthropic 2026-06-26 (2026-04) never exceeds its whole,True,0.0,0 rows where the part exceeds the whole
usage,usage matched to a valued task anthropic 2026-06-26 (2026-04),True,0.8032958808017336,80.3% of usage share lands on tasks with a value
