soc_code,eloundou_beta,felten_aioe,employment_latest,wage_bill_latest
13-1011,0.5357142857142857,1.068559,12620.0,1786739600.0
13-1021,0.5416666666666666,0.7687054,,
13-1022,0.475,0.8188258,,
13-1023,0.47368421052631576,1.509181,,
13-1031,0.5344827586206896,1.274024,324230.0,26090788100.0
13-1032,0.5,0.6634955,11560.0,912084000.0
13-1041,0.5166666666666667,0.6981205,417070.0,36868988000.0
13-1051,0.5,1.367669,224220.0,19146145800.0
13-1071,0.6346153846153846,1.36005,912430.0,74810135700.0
13-1074,0.125,-0.4354025,310.0,18125700.0
13-1075,0.5535714285714286,1.334834,64810.0,6398043200.0
13-1081,0.5301204819277109,1.297303,251040.0,22525819200.0
13-1082,0.55,,1066670.0,118123035800.0
13-1111,0.4090909090909091,1.432417,898280.0,102215281200.0
13-1121,0.47619047619047616,0.3740207,142860.0,9503047200.0
13-1131,0.5,1.242567,111040.0,8572288000.0
13-1141,0.4791666666666667,1.440985,112380.0,9477005400.0
13-1151,0.55,1.198409,458300.0,34624565000.0
13-1161,0.5408163265306123,1.426757,899580.0,80503414200.0
13-1199,0.592391304347826,1.047687,1087090.0,102153847300.0
13-2011,0.55,1.481956,1449500.0,137340125000.0
13-2022,0.5714285714285714,,,
13-2023,0.5,,,
13-2031,0.5,1.502988,47160.0,4544809200.0
13-2041,0.5454545454545454,1.345268,64390.0,6493731500.0
13-2051,0.46153846153846156,1.380615,361980.0,42279264000.0
13-2052,0.5,1.400749,266800.0,41799556000.0
13-2053,0.5714285714285714,1.326652,105420.0,9877854000.0
13-2054,0.5333333333333333,,63850.0,7944217000.0
13-2061,0.5,1.526064,67830.0,7206259200.0
13-2071,0.6086956521739131,1.385381,27770.0,1588721700.0
13-2072,0.5833333333333334,1.385739,274330.0,24083430700.0
13-2081,0.56,1.36682,56610.0,3992137200.0
13-2082,0.625,1.29371,76480.0,4659926400.0
13-2099,0.5568181818181818,1.361362,132130.0,12395115300.0
15-1211,0.6282051282051282,,519530.0,59543333300.0
15-1212,0.625,,190650.0,25263031500.0
15-1221,0.6,,37200.0,5726196000.0
15-1231,0.6346153846153846,,146190.0,11968575300.0
15-1232,0.59375,,717190.0,48288402700.0
15-1241,0.6440677966101694,,179740.0,25088109200.0
15-1242,0.9444444444444444,,69990.0,7705199100.0
15-1243,0.8953488372093024,,67140.0,9697701600.0
15-1244,0.7,,314340.0,32590771200.0
15-1251,0.9411764705882353,,92230.0,9699829100.0
15-1252,0.868421052631579,,1687890.0,249976509000.0
15-1253,0.8666666666666667,,186740.0,20819642600.0
15-1254,0.9310344827586207,,70190.0,6932666300.0
15-1255,0.7592592592592593,,113330.0,13315141700.0
15-1299,0.7372093023255814,,435370.0,53215275100.0
15-2011,0.5,1.516474,26670.0,3773271600.0
15-2021,1.0,1.472319,2030.0,262397800.0
15-2031,0.625,1.40002,108510.0,10821702300.0
15-2041,0.7159090909090909,1.382724,29030.0,3358771000.0
15-2051,0.6944444444444444,,262440.0,33277392000.0
15-2099,0.868421052631579,,3720.0,340566000.0
17-1011,0.5,1.047142,106770.0,11345380200.0
17-1012,0.42105263157894735,1.034388,19600.0,1740088000.0
17-1021,0.5357142857142857,0.8169979,14260.0,1236199400.0
17-1022,0.5125,0.1460606,50830.0,4095373100.0
17-2011,0.5555555555555556,1.338738,67710.0,9618882600.0
17-2021,0.42857142857142855,0.9409636,1480.0,160180400.0
17-2031,0.6,0.9874239,23480.0,2744577200.0
17-2041,0.46153846153846156,1.341336,21070.0,2738678600.0
17-2051,0.4859154929577465,1.282867,367840.0,39973172800.0
17-2061,0.6944444444444444,1.141812,76660.0,12470282200.0
17-2071,0.5454545454545454,1.126725,198750.0,24863625000.0
17-2072,0.6071428571428571,0.6654578,96900.0,13302432000.0
17-2081,0.5535714285714286,1.343561,38340.0,4328969400.0
17-2111,0.475,0.9948935,21450.0,2569066500.0
17-2112,0.5543478260869565,1.13787,365740.0,40194826000.0
17-2121,0.4166666666666667,0.5472173,8250.0,1024485000.0
17-2131,0.47619047619047616,1.037278,22770.0,2738092500.0
17-2141,0.5253164556962026,1.004709,296810.0,33720584100.0
17-2151,0.4722222222222222,1.34695,6080.0,701692800.0
17-2161,0.55,1.303009,15280.0,2145617600.0
17-2171,0.5,1.247779,18060.0,2838129000.0
17-2199,0.5279329608938548,0.787566,154070.0,19309593100.0
17-3011,0.5357142857142857,0.9233925,103700.0,7335738000.0
17-3012,0.5833333333333334,0.910166,17920.0,1456537600.0
17-3013,0.5,0.8410071,39960.0,2999397600.0
17-3021,0.2916666666666667,0.3909402,11280.0,1029976800.0
17-3022,0.5666666666666667,0.9323219,68520.0,4727194800.0
17-3023,0.4166666666666667,0.3515252,95130.0,7675088400.0
17-3024,0.3942307692307692,-0.3040507,15520.0,1186038400.0
17-3025,0.40384615384615385,0.0438054,12190.0,790765300.0
17-3026,0.42727272727272725,0.6106679,75570.0,5342799000.0
17-3027,0.3958333333333333,-0.1192367,36190.0,2764192200.0
17-3028,0.4,,16540.0,1226771800.0
17-3029,0.2391304347826087,0.1941278,59930.0,4851932800.0
17-3031,0.5,0.0852324,58010.0,3364580000.0
19-1011,0.5,1.041358,3100.0,273885000.0
19-1012,0.34615384615384615,0.7943575,13060.0,1245401600.0
19-1013,0.48148148148148145,0.6320696,15730.0,1379835600.0
19-1021,0.4375,0.9060509,33830.0,4392487200.0
19-1022,0.39285714285714285,0.6955647,18940.0,1848544000.0
19-1023,0.39285714285714285,0.3175953,18120.0,1504322400.0
19-1029,0.5568181818181818,1.010193,55850.0,5938530500.0
19-1031,0.4307692307692308,0.0690313,25950.0,2001523500.0
19-1032,0.38,-0.184381,10430.0,825743100.0
19-1041,0.43333333333333335,1.436287,12090.0,1183490100.0
19-1042,0.5,1.279928,172340.0,20136205600.0
19-2011,0.4411764705882353,1.373737,2120.0,281790400.0
19-2012,0.7,1.345736,20430.0,3497207400.0
19-2021,0.5370370370370371,1.373917,10000.0,1061100000.0
19-2031,0.38461538461538464,0.5011251,82770.0,8314246500.0
19-2032,0.46875,1.032757,8470.0,1068744600.0
19-2041,0.520618556701031,1.014113,89250.0,8182440000.0
19-2042,0.46875,0.7143481,23470.0,2726040500.0
19-2043,0.5,0.6405071,5850.0,606060000.0
19-2099,0.4583333333333333,1.140157,22300.0,2881829000.0
19-3011,0.5606060606060606,1.403764,17790.0,2528492700.0
19-3022,0.625,1.42653,8290.0,659718200.0
19-3032,0.48,1.402475,790.0,134481700.0
19-3033,0.38333333333333336,,75990.0,8567872500.0
19-3034,0.39473684210526316,,63940.0,6340290400.0
19-3039,0.453125,1.389854,18820.0,2092972200.0
19-3041,0.5384615384615384,1.411125,2260.0,259719200.0
19-3051,0.48,1.227516,44230.0,4190792500.0
19-3091,0.45,0.6965665,8990.0,679823800.0
19-3092,0.5,1.436298,1400.0,143290000.0
19-3093,0.5,1.098921,3450.0,280278000.0
19-3094,0.5,1.418863,5540.0,789505400.0
19-3099,0.5227272727272727,1.328048,37100.0,3995299000.0
19-4012,0.3854166666666667,,15130.0,814599200.0
19-4013,0.34375,,14600.0,827236000.0
19-4021,0.3888888888888889,0.3012355,69620.0,4273275600.0
19-4031,0.375,0.0628057,57540.0,3676806000.0
19-4042,0.4423076923076923,,34670.0,2107936000.0
19-4043,0.38333333333333336,,6980.0,431852600.0
19-4044,0.5,,2840.0,197465200.0
19-4051,0.2,0.1696743,6470.0,704841800.0
19-4061,0.6304347826086957,1.204652,30640.0,2026529600.0
19-4071,0.35714285714285715,,30410.0,1796014600.0
19-4092,0.40476190476190477,0.2400518,19120.0,1514304000.0
19-4099,0.5520833333333334,0.4501044,73910.0,4898754800.0
19-5011,0.3333333333333333,,140610.0,13197654600.0
19-5012,0.40384615384615385,,30590.0,2083790800.0
21-1011,0.1956521739130435,1.030841,,
21-1012,0.3088235294117647,0.9739287,353310.0,25236933300.0
21-1013,0.125,1.367434,66740.0,5136310400.0
21-1014,0.25925925925925924,1.34239,,
21-1015,0.35294117647058826,0.5025014,94740.0,4909426800.0
21-1021,0.2391304347826087,0.7761707,392550.0,25123200000.0
21-1022,0.35294117647058826,0.9339648,187630.0,13469957700.0
21-1023,0.2692307692307692,1.119216,132810.0,9035064300.0
21-1091,0.53125,0.691658,65690.0,4813763200.0
21-1092,0.40476190476190477,0.5272448,89390.0,6537090700.0
21-1093,0.35,0.4652255,437860.0,20881543400.0
21-1094,0.3103448275862069,0.0371229,61660.0,3464058800.0
21-2011,0.3333333333333333,1.282559,57200.0,3824392000.0
21-2021,0.42105263157894735,1.210922,22160.0,1376136000.0
23-1011,0.4318181818181818,1.328783,754500.0,140216280000.0
23-1012,0.5,1.462973,13290.0,969505500.0
23-1021,0.5,1.374714,16370.0,2062456300.0
23-1022,0.5,1.431593,9210.0,838202100.0
23-1023,0.40476190476190477,1.496494,24030.0,3456234900.0
23-2011,0.5,1.292055,392880.0,27383736000.0
23-2093,0.5588235294117647,1.279954,48580.0,3028963000.0
25-1011,0.48,1.349314,82150.0,9424248000.0
25-1021,0.5,1.277778,35480.0,3704821600.0
25-1022,0.5416666666666666,1.338676,47670.0,4364188500.0
25-1031,0.4772727272727273,1.222022,7700.0,779625000.0
25-1032,0.5,1.351133,40270.0,5014420400.0
25-1041,0.5,0.7546685,8920.0,910286000.0
25-1042,0.46296296296296297,1.227677,50190.0,5161539600.0
25-1043,0.48,1.260278,1520.0,155724000.0
25-1051,0.4807692307692308,1.306156,9900.0,1148598000.0
25-1052,0.42857142857142855,1.333947,19980.0,2102095800.0
25-1053,0.5,1.347519,6690.0,693150900.0
25-1054,0.4166666666666667,1.044191,13090.0,1459011400.0
25-1061,0.5,1.321694,5240.0,560051200.0
25-1062,0.5,1.308699,11300.0,1111129000.0
25-1063,0.45454545454545453,1.319012,11560.0,1605106000.0
25-1064,0.48,1.318899,3330.0,340825500.0
25-1065,0.4772727272727273,1.368397,16970.0,1834457000.0
25-1066,0.46551724137931033,1.33366,41530.0,3898005800.0
25-1067,0.4166666666666667,1.349229,11850.0,1149213000.0
25-1071,0.4782608695652174,0.924754,221270.0,32652813900.0
25-1072,0.41379310344827586,0.5170682,77960.0,6736523600.0
25-1081,0.4791666666666667,1.192988,60830.0,4826860500.0
25-1082,0.5,1.386292,3630.0,319839300.0
25-1111,0.5,1.389999,13150.0,1151282500.0
25-1112,0.45652173913043476,1.35645,20060.0,2904086200.0
25-1113,0.4375,1.347327,12610.0,1058483400.0
25-1121,0.44642857142857145,0.7582769,93560.0,8860132000.0
25-1122,0.43478260869565216,1.347435,29420.0,2648094200.0
25-1123,0.5454545454545454,1.417833,57720.0,5170557600.0
25-1124,0.54,1.33412,19830.0,1784501700.0
25-1125,0.48,1.43749,18790.0,1814738200.0
25-1126,0.5217391304347826,1.363522,20460.0,1883138400.0
25-1192,0.5434782608695652,1.211652,2770.0,226973800.0
25-1193,0.5208333333333334,1.16489,12630.0,1094010600.0
25-1194,0.5,0.1622185,114110.0,8222766600.0
25-2011,0.22058823529411764,0.0306372,478780.0,20601903400.0
25-2012,0.22972972972972974,0.3644047,108870.0,7552311900.0
25-2021,0.3026315789473684,0.8869491,1388390.0,100866533500.0
25-2022,0.35714285714285715,1.286445,620090.0,44665082700.0
25-2023,0.3225806451612903,0.5199191,16870.0,1207723300.0
25-2031,0.328125,1.191325,1065210.0,81296827200.0
25-2032,0.3333333333333333,0.3734505,111420.0,8098005600.0
25-2051,0.19444444444444445,0.3750564,29510.0,2253973800.0
25-2055,0.25,,,
25-2056,0.31666666666666665,,,
25-2057,0.3,,95200.0,7023856000.0
25-2058,0.3,,163930.0,12665231800.0
25-2059,0.475,-0.6632917,33930.0,2705917500.0
25-3011,0.41025641025641024,1.348951,37310.0,2457236600.0
25-3021,0.36666666666666664,0.526352,332110.0,18179701400.0
25-3031,0.3611111111111111,,524770.0,24359823400.0
25-3041,0.5263157894736842,,175070.0,8412113500.0
25-4011,0.5,0.6765602,7970.0,563000800.0
25-4012,0.5,0.7366658,12150.0,869454000.0
25-4013,0.25,-0.0912107,12310.0,706717100.0
25-4022,0.5333333333333333,,133790.0,9745263600.0
25-4031,0.5714285714285714,0.037965,68690.0,3125395000.0
25-9021,0.36666666666666664,0.8604031,8220.0,501913200.0
25-9031,0.5333333333333333,1.301855,227760.0,18430339200.0
25-9042,0.36666666666666664,,,
25-9043,0.26666666666666666,,,
25-9044,0.5,,164090.0,7822170300.0
27-1011,0.5,1.02251,53070.0,6869380800.0
27-1012,0.26666666666666666,-0.9295284,4580.0,227809200.0
27-1013,0.40625,-0.5690498,11220.0,820743000.0
27-1014,0.5357142857142857,0.7058651,19970.0,2254013900.0
27-1021,0.47058823529411764,0.867039,33490.0,3123277400.0
27-1022,0.4,0.5801539,21450.0,1956883500.0
27-1023,0.1875,-0.2718452,40590.0,1604116800.0
27-1024,0.5,0.7156958,197830.0,13958884800.0
27-1025,0.5,1.12168,71500.0,5329610000.0
27-1026,0.28,-1.001413,165220.0,7076372600.0
27-1027,0.37037037037037035,-0.0519323,10630.0,883990800.0
27-2011,0.18421052631578946,0.1590935,,
27-2012,0.46987951807228917,0.9388108,143120.0,16215496000.0
27-2021,0.0,-1.814336,15070.0,3107132600.0
27-2022,0.32142857142857145,0.1168668,248950.0,14976832000.0
27-2023,0.34375,-0.0325617,15780.0,836497800.0
27-2031,0.03571428571428571,-2.669758,,
27-2032,0.2777777777777778,-1.575769,2860.0,209066000.0
27-2041,0.7,0.8829641,12540.0,1134493800.0
27-2042,0.43333333333333335,-0.0040058,,
27-2091,0.5263157894736842,,,
27-3011,0.6666666666666666,0.8493547,21240.0,1672012800.0
27-3023,0.65,,39250.0,4021555000.0
27-3031,0.5833333333333334,1.284927,283380.0,23837925600.0
27-3041,0.6428571428571429,1.128221,91690.0,8257601400.0
27-3042,0.7,1.184001,45500.0,4412135000.0
27-3043,0.875,0.9879274,47940.0,4127154600.0
27-3091,0.8823529411764706,1.111319,52060.0,3454701600.0
27-3092,0.9642857142857143,,12870.0,1013641200.0
27-4011,0.4827586206896552,-0.0117747,70230.0,4538964900.0
27-4012,0.5,0.1222249,21110.0,1434635600.0
27-4014,0.42857142857142855,0.4715462,13080.0,1064581200.0
27-4015,0.15625,,8900.0,697582000.0
27-4021,0.39655172413793105,-0.1680973,51760.0,2868021600.0
27-4031,0.4375,-0.4470009,21550.0,1793175500.0
27-4032,0.5,0.985707,25610.0,2205789300.0
29-1011,0.45454545454545453,-0.1911757,39630.0,3587307600.0
29-1021,0.25,-0.1813301,124390.0,23802026500.0
29-1022,0.03571428571428571,-0.2389668,4910.0,1701265900.0
29-1023,0.3,0.1616631,6210.0,1610874000.0
29-1024,0.045454545454545456,-0.1561403,870.0,233708100.0
29-1031,0.5178571428571429,1.342809,77570.0,5982974100.0
29-1041,0.3,0.5040194,42790.0,6056924500.0
29-1051,0.42857142857142855,0.6058705,321970.0,45372012400.0
29-1071,0.25,0.1059147,162150.0,22908552000.0
29-1081,0.2727272727272727,0.6279185,9680.0,1698646400.0
29-1122,0.2894736842105263,0.1151615,162450.0,16452936000.0
29-1123,0.1875,-0.3581922,267330.0,28144502400.0
29-1124,0.2727272727272727,-0.2189393,17070.0,1962879300.0
29-1125,0.3181818181818182,0.2190109,14930.0,1009715900.0
29-1126,0.20454545454545456,-0.1880507,139790.0,12203667000.0
29-1127,0.4583333333333333,1.146267,183390.0,18003396300.0
29-1128,0.26,-0.0331901,8560.0,521646400.0
29-1129,0.37272727272727274,,22640.0,2047108800.0
29-1131,0.2826086956521739,-0.0749958,83900.0,11970852000.0
29-1141,0.3795620437956204,0.2294097,3379720.0,342771202400.0
29-1151,0.16666666666666666,0.2413191,51840.0,12872908800.0
29-1161,0.38095238095238093,0.1966265,7920.0,1084881600.0
29-1171,0.48148148148148145,0.1900572,323040.0,44353392000.0
29-1181,0.45454545454545453,0.6329063,13660.0,1335128400.0
29-1211,0.25,,38760.0,13975693200.0
29-1212,0.34615384615384615,,17290.0,7865912600.0
29-1213,0.3888888888888889,,11370.0,3678536100.0
29-1214,0.4411764705882353,,32880.0,10438742400.0
29-1215,0.4230769230769231,,107510.0,27503208200.0
29-1216,0.4473684210526316,,67150.0,17942480000.0
29-1217,0.4375,,10590.0,2834201700.0
29-1218,0.4,,21260.0,5932390400.0
29-1221,0.47058823529411764,,39390.0,8355012900.0
29-1222,0.4473684210526316,,11110.0,3171016200.0
29-1223,0.4583333333333333,,27980.0,7552921200.0
29-1224,0.48333333333333334,,26770.0,10213558100.0
29-1229,0.4158415841584158,,342720.0,89806348800.0
29-1241,0.4166666666666667,,8950.0,2726617500.0
29-1242,0.3333333333333333,,14100.0,5267337000.0
29-1243,0.3611111111111111,,1190.0,597439500.0
29-1291,0.16666666666666666,,7830.0,681366600.0
29-1292,0.16666666666666666,,222740.0,22049032600.0
29-1299,0.4861111111111111,,28630.0,3654905800.0
29-2011,0.3466666666666667,0.2818067,,
29-2012,0.1956521739130435,-0.1273315,,
29-2031,0.4,-0.0909526,62960.0,4844142400.0
29-2032,0.3,-0.264054,90160.0,8767158400.0
29-2033,0.29411764705882354,0.0855276,17080.0,1796132800.0
29-2034,0.38333333333333336,-0.5559037,230490.0,19324281600.0
29-2035,0.32608695652173914,-0.0727627,43390.0,4170646800.0
29-2036,0.45,,3410.0,506385000.0
29-2042,0.20833333333333334,,180510.0,8453283300.0
29-2043,0.15384615384615385,,100610.0,6374649600.0
29-2051,0.5384615384615384,-0.1260282,31560.0,1282282800.0
29-2052,0.40476190476190477,0.0070256,471680.0,21989721600.0
29-2053,0.125,-0.2203484,156960.0,7315905600.0
29-2055,0.09375,-0.4830476,117460.0,8070676600.0
29-2056,0.16129032258064516,-0.3623179,129140.0,6343356800.0
29-2057,0.325,0.078734,71010.0,3341730600.0
29-2061,0.2391304347826087,-0.5137373,648410.0,43475890500.0
29-2072,0.6176470588235294,,194720.0,11058148800.0
29-2081,0.2857142857142857,0.1013966,73530.0,3806648100.0
29-2091,0.3,0.066577,9390.0,786318600.0
29-2092,0.22727272727272727,0.5648953,11270.0,747989900.0
29-2099,0.39166666666666666,-0.283854,182610.0,10721033100.0
29-9021,0.65625,,38100.0,2856357000.0
29-9091,0.30434782608695654,-0.3311363,30500.0,2031910000.0
29-9092,0.5,1.527667,3740.0,391278800.0
29-9093,0.03571428571428571,,22270.0,1619251700.0
29-9099,0.3888888888888889,0.2295568,35010.0,2685967200.0
31-1121,0.06666666666666667,,,
31-1122,0.22727272727272727,,,
31-1131,0.10606060606060606,,1448910.0,61868457000.0
31-1132,0.0,,52440.0,2132210400.0
31-1133,0.17647058823529413,,35520.0,1622908800.0
31-2011,0.2727272727272727,-0.3153762,51290.0,3626715900.0
31-2012,0.23333333333333334,-0.7734322,4310.0,190114100.0
31-2021,0.14285714285714285,-0.5308535,112430.0,7727313900.0
31-2022,0.15789473684210525,-0.8823265,48150.0,1754104500.0
31-9011,0.07142857142857142,-1.410233,98790.0,6305765700.0
31-9091,0.25,-0.5268759,387790.0,19467058000.0
31-9092,0.375,0.1497917,817870.0,37720164400.0
31-9093,0.09375,-0.7308648,77420.0,3910484200.0
31-9094,0.8666666666666667,1.06259,41550.0,1733050500.0
31-9095,0.4411764705882353,-0.1552654,39530.0,1598988500.0
31-9096,0.21428571428571427,-0.7735824,126580.0,5106237200.0
31-9097,0.16666666666666666,-0.2778475,143540.0,6533940800.0
31-9099,0.32608695652173914,0.1660077,109740.0,5575889400.0
33-1011,0.2826086956521739,-0.5584278,53380.0,4504204400.0
33-1012,0.325,-0.1923298,154610.0,17345695900.0
33-1021,0.43333333333333335,-0.593021,99140.0,9609640200.0
33-1091,0.40476190476190477,,81480.0,4880652000.0
33-2011,0.13333333333333333,-1.320232,345990.0,22015343700.0
33-2021,0.2833333333333333,0.062793,13800.0,1085646000.0
33-2022,0.21875,-0.2144127,2780.0,185259200.0
33-3011,0.06666666666666667,-0.5103183,17310.0,1067334600.0
33-3012,0.25,-0.8875365,380500.0,24211215000.0
33-3021,0.38461538461538464,0.2257696,114430.0,11377774900.0
33-3031,0.2708333333333333,-0.4585168,5770.0,432461500.0
33-3041,0.30434782608695654,-0.6239931,9050.0,463269500.0
33-3051,0.3048780487804878,-0.6681123,670520.0,53105184000.0
33-3052,0.25,-0.8205515,4390.0,403045900.0
33-9011,0.34375,-0.5946321,12070.0,584670800.0
33-9021,0.35294117647058826,0.7483108,35580.0,2140137000.0
33-9031,0.4375,0.7283933,9520.0,434397600.0
33-9032,0.14285714285714285,-0.3908421,1283470.0,54508970900.0
33-9091,0.125,-0.5699511,94360.0,4090506000.0
33-9092,0.06666666666666667,-0.4718385,157550.0,5430748500.0
33-9093,0.2692307692307692,-0.5068558,50290.0,3234149900.0
33-9094,0.16666666666666666,,78420.0,2756463000.0
33-9099,0.38095238095238093,0.0764088,81500.0,3917705000.0
35-1011,0.2619047619047619,-0.2676433,200040.0,13342668000.0
35-1012,0.5,-0.2575492,1223240.0,56489223200.0
35-2011,0.0,-0.7131837,641070.0,20764257300.0
35-2012,0.17647058823529413,-0.6360813,441050.0,17117150500.0
35-2013,0.23076923076923078,-0.7867444,1100.0,59048000.0
35-2014,0.125,-0.7418264,1409890.0,54605039700.0
35-2015,0.0,-0.5933817,138650.0,5008038000.0
35-2021,0.04838709677419355,-1.226416,893600.0,31535144000.0
35-3011,0.2,-0.6159883,756390.0,30853148100.0
35-3023,0.10638297872340426,,3854050.0,123907707500.0
35-3031,0.18,-0.9481003,2270910.0,90972654600.0
35-3041,0.14285714285714285,-0.7270206,293900.0,10621546000.0
35-9011,0.0,-1.927078,542750.0,18578332500.0
35-9021,0.0,-1.738612,477450.0,16381309500.0
35-9031,0.25,-0.0565477,432690.0,14144636100.0
37-1011,0.2692307692307692,-0.5854128,178760.0,9531483200.0
37-1012,0.35714285714285715,-0.5548871,130760.0,7971129600.0
37-2011,0.0,-1.436201,2209760.0,85650297600.0
37-2012,0.0,-1.480657,860670.0,31913643600.0
37-2021,0.2,-0.7255374,102620.0,4761568000.0
37-3011,0.037037037037037035,-1.824293,952640.0,40287145600.0
37-3012,0.05,-0.8847935,27050.0,1273243500.0
37-3013,0.057692307692307696,-1.727035,55160.0,3087305200.0
39-1013,0.45,,26010.0,1686228300.0
39-1014,0.3684210526315789,,103190.0,5525824500.0
39-1022,0.4411764705882353,,114110.0,5974799600.0
39-2011,0.07894736842105263,-0.9167759,18770.0,882565400.0
39-2021,0.22727272727272727,-0.8890408,266910.0,9955743000.0
39-3011,0.14285714285714285,0.0605832,83910.0,3570370500.0
39-3012,0.25,0.4652752,8950.0,326227500.0
39-3021,0.20454545454545456,-0.3786598,1480.0,76190400.0
39-3031,0.15217391304347827,-0.2420959,121770.0,4028151600.0
39-3091,0.18421052631578946,-0.5246153,397830.0,12985171200.0
39-3092,0.23809523809523808,-0.4533608,6510.0,412994400.0
39-3093,0.043478260869565216,-0.3454376,15560.0,598437600.0
39-4011,0.038461538461538464,-0.7311451,3890.0,227137100.0
39-4012,0.041666666666666664,,2970.0,135639900.0
39-4021,0.23076923076923078,-0.5445412,31090.0,1156237100.0
39-4031,0.1590909090909091,-0.1903759,25100.0,1459816000.0
39-5011,0.175,-0.7294621,15000.0,706050000.0
39-5012,0.06521739130434782,-0.6824517,305710.0,13439011600.0
39-5091,0.3333333333333333,-0.4596138,2340.0,239241600.0
39-5092,0.08333333333333333,0.0335124,152770.0,5892338900.0
39-5093,0.25,-0.905371,8070.0,258078600.0
39-5094,0.19444444444444445,-0.2628396,72890.0,3779346500.0
39-6011,0.20588235294117646,-1.272015,28510.0,1099630700.0
39-6012,0.4375,0.855832,49240.0,2093192400.0
39-7011,0.23684210526315788,0.357096,,
39-7012,0.35294117647058826,0.6083829,,
39-9011,0.14772727272727273,-0.3834794,518910.0,18177417300.0
39-9031,0.022727272727272728,-2.111948,322930.0,16927990600.0
39-9032,0.25,-0.2441154,331490.0,12768994800.0
39-9041,0.23333333333333334,0.4746119,84760.0,3728592400.0
41-1011,0.5,0.0191826,1121800.0,59881684000.0
41-1012,0.5277777777777778,1.316195,214390.0,21303934300.0
41-2011,0.2413793103448276,-0.2480887,3089410.0,102506623800.0
41-2012,0.23333333333333334,-0.0500926,21530.0,841823000.0
41-2021,0.53125,0.0784367,400810.0,18317017000.0
41-2022,0.3157894736842105,-0.1184909,270070.0,11837168100.0
41-2031,0.375,0.0873069,3897860.0,145429156600.0
41-3011,0.55,1.162588,91700.0,7397439000.0
41-3021,0.5789473684210527,1.341258,479100.0,39037068000.0
41-3031,0.6,1.256298,489570.0,53436565500.0
41-3041,0.5625,1.133598,55110.0,3012312600.0
41-3091,0.6333333333333333,,1256010.0,103532904300.0
41-4011,0.5102040816326531,0.8911985,284800.0,34099104000.0
41-4012,0.6052631578947368,0.8224681,1238190.0,102187820700.0
41-9011,0.16666666666666666,0.1235652,64520.0,2940821600.0
41-9012,0.25,-1.122021,3780.0,275184000.0
41-9021,0.5,1.149681,46100.0,3870095000.0
41-9022,0.4393939393939394,0.8649445,193370.0,13441148700.0
41-9031,0.52,1.145416,51790.0,6739950600.0
41-9041,0.7916666666666666,1.118129,58430.0,2183529100.0
41-9091,0.25,1.107101,2760.0,121026000.0
43-1011,0.4827586206896552,1.038688,1436680.0,105581613200.0
43-2011,0.631578947368421,0.9832644,34280.0,1450044000.0
43-2021,0.90625,1.019712,3430.0,154247100.0
43-3011,0.7,1.271991,158830.0,7792199800.0
43-3021,0.7833333333333333,1.333455,404060.0,20635344200.0
43-3031,0.7833333333333333,1.039749,1373680.0,73574300800.0
43-3041,0.4411764705882353,0.4026518,14430.0,570129300.0
