vintage,state_fips,measure,cut,wage_bill_usd,share_of_bill_scored,share_of_bill_exposed,occupations
2022,04,eloundou_beta,0.4782608695652174,175251270900.0,0.9549647802297335,0.4002791549796051,699
2022,05,eloundou_beta,0.4782608695652174,58490382000.0,0.9494376306176288,0.33455603941886797,643
2022,06,eloundou_beta,0.4782608695652174,1257630062100.0,0.9406587561405908,0.4382440359473188,772
2022,08,eloundou_beta,0.4782608695652174,185493770600.0,0.9531388128459339,0.46823388821645073,722
2022,09,eloundou_beta,0.4782608695652174,109625558200.0,0.948204216304734,0.3956925855872522,644
2022,10,eloundou_beta,0.4782608695652174,26102246800.0,0.959125353913978,0.428310132657466,500
2022,11,eloundou_beta,0.4782608695652174,68847390500.0,0.971731592354252,0.5371523078745374,462
2022,12,eloundou_beta,0.4782608695652174,508045636100.0,0.9668569571244467,0.40384084290668115,756
2022,13,eloundou_beta,0.4782608695652174,260150300400.0,0.9521179722612383,0.4336245941165179,730
2022,15,eloundou_beta,0.4782608695652174,34726441800.0,0.952712935305684,0.32301474151344695,528
2022,16,eloundou_beta,0.4782608695652174,39789313600.0,0.9433531168026985,0.3531526062096146,636
2022,17,eloundou_beta,0.4782608695652174,367921305200.0,0.9557144036789528,0.3812375410338417,727
2022,18,eloundou_beta,0.4782608695652174,162774645600.0,0.9407996339695303,0.32019775558864505,742
2022,19,eloundou_beta,0.4782608695652174,80516238700.0,0.9529935679918938,0.362983942585759,698
2022,20,eloundou_beta,0.4782608695652174,72176031700.0,0.9481526579965742,0.38100727723725997,653
2022,21,eloundou_beta,0.4782608695652174,95095442700.0,0.9304948658701602,0.33065674368177755,701
2022,22,eloundou_beta,0.4782608695652174,92133904700.0,0.9345129263798585,0.3184296648339361,687
2022,23,eloundou_beta,0.4782608695652174,33408352300.0,0.9448372645423762,0.35457895900772696,617
2022,24,eloundou_beta,0.4782608695652174,179707226100.0,0.9535436905839593,0.46158085278004074,703
2022,25,eloundou_beta,0.4782608695652174,260249262800.0,0.9492923716362589,0.40828900529388756,687
2022,26,eloundou_beta,0.4782608695652174,243809314300.0,0.9412364513589873,0.3842351694273223,757
2022,27,eloundou_beta,0.4782608695652174,178188906100.0,0.9345619480179299,0.4051751619184012,721
2022,28,eloundou_beta,0.4782608695652174,49627604800.0,0.9498080531986505,0.29663800787134886,659
2022,29,eloundou_beta,0.4782608695652174,151835735700.0,0.9491483453193423,0.38106322389502345,715
2022,30,eloundou_beta,0.4782608695652174,24464076400.0,0.951319306703931,0.3298684232157298,593
2022,31,eloundou_beta,0.4782608695652174,52861811500.0,0.9597500910463501,0.3740364365853578,663
2022,32,eloundou_beta,0.4782608695652174,75161740200.0,0.9535968500633518,0.3234145201947551,629
2022,33,eloundou_beta,0.4782608695652174,39941136900.0,0.954924913516921,0.42031953944987716,601
2022,34,eloundou_beta,0.4782608695652174,282741347200.0,0.9509275104706016,0.4331335766947803,702
2022,35,eloundou_beta,0.4782608695652174,42272734800.0,0.947965469695611,0.36987186731473876,620
2022,36,eloundou_beta,0.4782608695652174,673148758800.0,0.9442878298299849,0.4188726719771625,766
2022,37,eloundou_beta,0.4782608695652174,258360500700.0,0.9562012909506643,0.4240187395958861,730
2022,38,eloundou_beta,0.4782608695652174,21838133800.0,0.9427562120715645,0.29978957245184185,529
2022,39,eloundou_beta,0.4782608695652174,302556114500.0,0.9473868299561337,0.36780962385007204,762
2022,40,eloundou_beta,0.4782608695652174,79892092600.0,0.9615195722135835,0.35636745763180155,691
2022,41,eloundou_beta,0.4782608695652174,117465106000.0,0.9381324569698171,0.3836466850161208,717
2022,42,eloundou_beta,0.4782608695652174,329059738800.0,0.9480215386957573,0.38831969017536194,753
2022,44,eloundou_beta,0.4782608695652174,28138023400.0,0.9621599184539735,0.39872524045231716,491
2022,45,eloundou_beta,0.4782608695652174,108311154600.0,0.9509568666346763,0.35319842012576014,701
2022,46,eloundou_beta,0.4782608695652174,20998484200.0,0.9586022118682261,0.3460331947528508,554
2022,47,eloundou_beta,0.4782608695652174,162562416700.0,0.9432147412213022,0.3773115316274715,730
2022,48,eloundou_beta,0.4782608695652174,732071332200.0,0.9574440468712565,0.40448685196593304,780
2022,49,eloundou_beta,0.4782608695652174,91115814100.0,0.9558857577062465,0.41994506908438567,697
2022,50,eloundou_beta,0.4782608695652174,16153141200.0,0.9365035142514572,0.36728931635543766,511
2022,51,eloundou_beta,0.4782608695652174,247881692700.0,0.9555522024237008,0.4543075647289421,724
2022,53,eloundou_beta,0.4782608695652174,242748556600.0,0.9483846970070923,0.45676196124029744,743
2022,54,eloundou_beta,0.4782608695652174,32685615700.0,0.9444195478318617,0.3215720138366681,609
2022,55,eloundou_beta,0.4782608695652174,154431841600.0,0.9419521647406166,0.38101213428169467,733
2022,56,eloundou_beta,0.4782608695652174,13957948500.0,0.9551210480537308,0.2697583617256725,495
2022,66,eloundou_beta,0.4782608695652174,1755815400.0,0.9679026622046942,0.3120723049178491,185
2022,72,eloundou_beta,0.4782608695652174,28541588000.0,0.9431658462731646,0.39145396390141834,539
2022,78,eloundou_beta,0.4782608695652174,1172846900.0,0.9583509151961778,0.3379334268031757,160
2023,01,eloundou_beta,0.4782608695652174,107127317400.0,0.9491941025679039,0.3550541777666453,689
2023,02,eloundou_beta,0.4782608695652174,20429052800.0,0.9445991495014394,0.32673355555514216,528
2023,04,eloundou_beta,0.4782608695652174,193076918600.0,0.9551454360117388,0.3965086756948201,693
2023,05,eloundou_beta,0.4782608695652174,63318142100.0,0.9496307930993446,0.33147215378239975,648
