vintage,soc_code,employment,wage,bill,basis
2012,29-2033,20630.0,70527.8623364033,1454989800.0,sum of states
2012,29-2034,195610.0,56272.67879965237,11007498700.0,sum of states
2012,29-2035,29570.0,65263.82482245519,1929851300.0,sum of states
2012,29-2051,24400.0,28728.41393442623,700973300.0,sum of states
2012,29-2052,356930.0,30329.93640209565,10825664200.0,sum of states
2012,29-2053,64050.0,32931.56596409056,2109266800.0,sum of states
2012,29-2055,97920.0,43300.22467320262,4239958000.0,sum of states
2012,29-2056,83450.0,31469.207908927503,2626105400.0,sum of states
2012,29-2057,29410.0,35318.42910574634,1038715000.0,sum of states
2012,29-2061,723200.0,42276.7122511062,30574518300.0,sum of states
2012,29-2072,183750.0,36661.170612244896,6736490100.0,sum of states
2012,29-2081,65460.0,34943.07057745188,2287373400.0,sum of states
2012,29-2091,6790.0,70711.9440353461,480134100.0,sum of states
2012,29-2092,3650.0,45921.50684931507,167613500.0,sum of states
2012,29-2099,84790.0,44343.86484255219,3759916300.0,sum of states
2012,29-9091,20590.0,44080.704225352114,907621700.0,sum of states
2012,29-9092,1430.0,56596.22377622378,80932600.0,sum of states
2012,29-9099,47860.0,53632.27329711659,2566840600.0,sum of states
2012,31-1122,989640.0,20810.760983792086,20595161500.0,sum of states
2012,31-2011,29470.0,53093.444180522565,1564663800.0,sum of states
2012,31-2012,7140.0,30415.210084033613,217164600.0,sum of states
2012,31-2021,70250.0,52140.87259786477,3662896300.0,sum of states
2012,31-2022,48520.0,25415.824402308328,1233175800.0,sum of states
2012,31-9011,71140.0,40315.40764689345,2868038100.0,sum of states
2012,31-9091,302690.0,34939.79550034689,10575926700.0,sum of states
2012,31-9092,553950.0,30553.17664049102,16924932200.0,sum of states
2012,31-9093,50380.0,32224.452163556965,1623467900.0,sum of states
2012,31-9094,75010.0,34632.249033462205,2597765000.0,sum of states
2012,31-9095,44810.0,23220.91051104664,1040529000.0,sum of states
2012,31-9096,71690.0,24713.350537034454,1771700100.0,sum of states
2012,31-9097,100840.0,30872.235224117412,3113156200.0,sum of states
2012,31-9099,104060.0,33815.86872957909,3518879300.0,sum of states
2012,33-1011,44280.0,60998.32204155375,2701005700.0,sum of states
2012,33-1012,100410.0,80111.95299272981,8044041200.0,sum of states
2012,33-1021,59570.0,70866.87090817526,4221539500.0,sum of states
2012,33-2011,296570.0,47640.776207977884,14128825000.0,sum of states
2012,33-2021,11710.0,57431.13578138343,672518600.0,sum of states
2012,33-2022,1310.0,39833.35877862595,52181700.0,sum of states
2012,33-3011,16920.0,39021.666666666664,660246600.0,sum of states
2012,33-3012,437540.0,43249.14202130091,18923229600.0,sum of states
2012,33-3021,109610.0,77774.04160204361,8524812700.0,sum of states
2012,33-3031,5120.0,49036.23046875,251065500.0,sum of states
2012,33-3051,649220.0,56849.71365638766,36907971100.0,sum of states
2012,33-3052,2950.0,59203.83050847457,174651300.0,sum of states
2012,33-9011,13790.0,33461.60261058738,461435500.0,sum of states
2012,33-9021,22730.0,50906.31324241091,1157100500.0,sum of states
2012,33-9031,8850.0,31843.593220338982,281815800.0,sum of states
2012,33-9032,1077410.0,26968.574637324695,29056212000.0,sum of states
2012,33-9092,125990.0,20718.53242320819,2610327900.0,sum of states
2012,33-9093,47870.0,37098.606642991435,1775910300.0,sum of states
2012,33-9099,77690.0,33712.41343802291,2619117400.0,sum of states
2012,35-1011,98120.0,46473.1461475744,4559945100.0,sum of states
2012,35-1012,823900.0,31749.24784561233,26158205300.0,sum of states
2012,35-2011,508380.0,18759.94846374759,9537182600.0,sum of states
2012,35-2012,399010.0,24275.418661186435,9686134800.0,sum of states
2012,35-2013,140.0,34732.857142857145,4862600.0,sum of states
2012,35-2014,1007650.0,23261.582295439886,23439533400.0,sum of states
2012,35-2015,162720.0,21239.02900688299,3456014800.0,sum of states
2012,35-2019,20700.0,25365.328502415457,525062300.0,sum of states
2012,35-2021,801120.0,20855.092121030557,16707431400.0,sum of states
2012,35-3031,2343000.0,20692.237345283826,48481912100.0,sum of states
2012,35-3041,237800.0,22010.33221194281,5234057000.0,sum of states
2012,35-9011,396790.0,19686.339373472114,7811342600.0,sum of states
2012,35-9021,504540.0,18923.88690688548,9547857900.0,sum of states
2012,35-9031,343680.0,19560.455074487894,6722537200.0,sum of states
2012,35-9099,35390.0,23478.883865498727,830917700.0,sum of states
2012,37-1011,172380.0,37699.42626754844,6498627100.0,sum of states
2012,37-1012,99990.0,44936.30863086309,4493181500.0,sum of states
2012,37-2011,2130020.0,24739.890235772433,52696461000.0,sum of states
2012,37-2012,899430.0,21800.02412639116,19607595700.0,sum of states
2012,37-2019,10270.0,29433.63193768257,302283400.0,sum of states
2012,37-2021,61730.0,32121.15502996922,1982838900.0,sum of states
2012,37-3011,839180.0,25797.730880144903,21648939800.0,sum of states
2012,37-3012,23150.0,32022.16846652268,741313200.0,sum of states
2012,37-3013,38000.0,33645.80789473684,1278540700.0,sum of states
2012,37-3019,13820.0,30577.004341534008,422574200.0,sum of states
2012,39-2011,10550.0,30182.331753554503,318423600.0,sum of states
2012,39-2021,150300.0,22362.91417165669,3361146000.0,sum of states
2012,39-3011,81660.0,21888.790105314718,1787438600.0,sum of states
2012,39-3012,11400.0,24696.026315789473,281534700.0,sum of states
2012,39-3019,11350.0,26524.15859030837,301049200.0,sum of states
2012,39-3021,7700.0,21547.064935064936,165912400.0,sum of states
2012,39-3031,106860.0,20312.87946846341,2170634300.0,sum of states
2012,39-3091,256910.0,20018.16978708497,5142868000.0,sum of states
2012,39-3092,5250.0,45542.438095238096,239097800.0,sum of states
2012,39-3093,18320.0,21518.171397379912,394212900.0,sum of states
2012,39-3099,7740.0,25414.134366925064,196705400.0,sum of states
2012,39-4011,4310.0,43655.98607888631,188157300.0,sum of states
2012,39-4021,32270.0,24133.653548187172,778793000.0,sum of states
2012,39-4031,22860.0,52708.59142607174,1204918400.0,sum of states
2012,39-5011,7420.0,26964.79784366577,200078800.0,sum of states
2012,39-5012,356780.0,26777.236952743988,9553582600.0,sum of states
2012,39-5091,1380.0,76568.84057971014,105665000.0,sum of states
2012,39-5092,61190.0,21407.855858800456,1309946700.0,sum of states
2012,39-5093,11180.0,18737.83542039356,209489000.0,sum of states
2012,39-5094,31230.0,31433.893691962858,981680500.0,sum of states
