cip_code,destinations,link,eloundou_beta,felten_aioe
13.1006,7,nces_crosswalk,0.3231533822164143,0.49192795544379164
13.1007,7,nces_crosswalk,0.3231533822164143,0.49192795544379164
13.1008,7,nces_crosswalk,0.3231533822164143,0.49192795544379164
13.1009,7,nces_crosswalk,0.3231533822164143,0.49192795544379164
13.1011,7,nces_crosswalk,0.3231533822164143,0.49192795544379164
13.1012,7,nces_crosswalk,0.3231533822164143,0.49192795544379164
13.1013,7,nces_crosswalk,0.3231533822164143,0.49192795544379164
13.1014,7,nces_crosswalk,0.3231533822164143,0.49192795544379164
13.1015,2,nces_crosswalk,0.3861607691929255,0.9258066681868495
13.1016,7,nces_crosswalk,0.3231533822164143,0.49192795544379164
13.1017,3,nces_crosswalk,0.34861111111111115,1.192988
13.1018,2,nces_crosswalk,0.3698500822491401,1.192988
13.1019,2,nces_crosswalk,0.3484904268256511,1.192988
13.1099,2,nces_crosswalk,0.4776747396932602,0.5283238988919374
13.1101,1,nces_crosswalk,0.3088235294117647,0.9739287
13.1102,2,nces_crosswalk,0.294217304334476,0.8773183592599356
13.1199,2,nces_crosswalk,0.294217304334476,0.8773183592599356
13.1201,3,nces_crosswalk,0.4701412716055349,0.9355421751679313
13.1202,2,nces_crosswalk,0.31004151628329046,0.8997948696464305
13.1203,3,nces_crosswalk,0.34369173765358113,1.225162183422769
13.1205,2,nces_crosswalk,0.33628444778456656,1.1914148372082696
13.1206,6,nces_crosswalk,0.30920807559396213,0.920179605604795
13.1207,7,nces_crosswalk,0.30920807559396213,0.9321979956240419
13.1208,7,nces_crosswalk,0.30920807559396213,0.9321979956240419
13.1209,3,nces_crosswalk,0.24637863820492023,0.19570484570842583
13.1210,6,nces_crosswalk,0.2918748738300833,0.6668770904839287
13.1211,7,nces_crosswalk,0.3294481321717204,1.0323760250777843
13.1212,5,nces_crosswalk,0.3063843604801096,0.9156471298906959
13.1213,4,nces_crosswalk,0.3255047381301713,1.0753556220056022
13.1214,1,nces_crosswalk,0.4791666666666667,1.192988
13.1299,1,nces_crosswalk,,
13.1301,5,nces_crosswalk,0.42686094447286344,0.4747485055966682
13.1302,4,nces_crosswalk,0.34891656257951326,1.201418081363708
13.1303,5,nces_crosswalk,0.4364955208293225,0.6546973068192433
13.1304,3,nces_crosswalk,0.33628444778456656,1.2037053983126718
13.1305,4,nces_crosswalk,0.35014778957933534,1.2313273077584055
13.1306,4,nces_crosswalk,0.3458960870399373,1.2263856729144489
