vintage,state_fips,soc_code,employment,wage,bill
2024,01,21-1093,3260.0,35090.0,114393400.0
2024,01,21-1094,190.0,47430.0,9011700.0
2024,01,21-1099,70.0,30770.0,2153900.0
2024,01,21-2011,720.0,52440.0,37756800.0
2024,01,21-2021,110.0,64830.0,7131300.0
2024,01,23-1011,5810.0,139470.0,810320700.0
2024,01,23-1021,80.0,152420.0,12193600.0
2024,01,23-1022,40.0,75490.0,3019600.0
2024,01,23-1023,610.0,71280.0,43480800.0
2024,01,23-2011,5480.0,49800.0,272904000.0
2024,01,23-2093,380.0,54980.0,20892400.0
2024,01,23-2099,230.0,67930.0,15623900.0
2024,01,25-1011,1290.0,96490.0,124472100.0
2024,01,25-1021,500.0,99330.0,49665000.0
2024,01,25-1022,960.0,70760.0,67929600.0
2024,01,25-1032,730.0,109740.0,80110200.0
2024,01,25-1041,250.0,78930.0,19732500.0
2024,01,25-1042,1170.0,89720.0,104972400.0
2024,01,25-1043,70.0,79950.0,5596500.0
2024,01,25-1051,100.0,85280.0,8528000.0
2024,01,25-1052,300.0,86880.0,26064000.0
2024,01,25-1054,190.0,88410.0,16797900.0
2024,01,25-1061,50.0,78540.0,3927000.0
2024,01,25-1062,80.0,74660.0,5972800.0
2024,01,25-1063,150.0,130060.0,19509000.0
2024,01,25-1065,150.0,82280.0,12342000.0
2024,01,25-1066,550.0,81200.0,44660000.0
2024,01,25-1067,160.0,66940.0,10710400.0
2024,01,25-1071,3000.0,99650.0,298950000.0
2024,01,25-1072,1370.0,82490.0,113011300.0
2024,01,25-1081,920.0,68990.0,63470800.0
2024,01,25-1082,150.0,73460.0,11019000.0
2024,01,25-1111,170.0,68850.0,11704500.0
2024,01,25-1112,70.0,148160.0,10371200.0
2024,01,25-1113,300.0,79860.0,23958000.0
2024,01,25-1121,940.0,67900.0,63826000.0
2024,01,25-1122,280.0,66270.0,18555600.0
2024,01,25-1123,1250.0,66000.0,82500000.0
2024,01,25-1124,120.0,67480.0,8097600.0
2024,01,25-1125,390.0,64800.0,25272000.0
2024,01,25-1126,210.0,63710.0,13379100.0
2024,01,25-1193,150.0,68700.0,10305000.0
2024,01,25-1194,1850.0,57890.0,107096500.0
2024,01,25-1199,210.0,67060.0,14082600.0
2024,01,25-2011,6610.0,30920.0,204381200.0
2024,01,25-2012,490.0,50490.0,24740100.0
2024,01,25-2021,16910.0,56220.0,950680200.0
2024,01,25-2022,10950.0,57750.0,632362500.0
2024,01,25-2023,710.0,53890.0,38261900.0
2024,01,25-2031,16480.0,58850.0,969848000.0
2024,01,25-2032,120.0,76810.0,9217200.0
2024,01,25-2052,660.0,60250.0,39765000.0
2024,01,25-2057,730.0,58320.0,42573600.0
2024,01,25-2058,680.0,59840.0,40691200.0
2024,01,25-2059,130.0,49330.0,6412900.0
2024,01,25-3011,480.0,46820.0,22473600.0
2024,01,25-3021,2400.0,40430.0,97032000.0
2024,01,25-3041,990.0,34930.0,34580700.0
2024,01,25-3099,1950.0,64900.0,126555000.0
2024,01,25-4011,80.0,63170.0,5053600.0
2024,01,25-4012,170.0,63820.0,10849400.0
2024,01,25-4013,160.0,45000.0,7200000.0
2024,01,25-4022,3260.0,58510.0,190742600.0
2024,01,25-4031,510.0,35930.0,18324300.0
2024,01,25-9021,260.0,62280.0,16192800.0
2024,01,25-9031,2020.0,74630.0,150752600.0
2024,01,25-9045,10000.0,24140.0,241400000.0
