platform,release,bundle_id,bundle,usage_share_on_bundle,wage_bill_share_on_bundle,concentration,reach_usd_on_bundle,reach_share_of_bundle_bill
anthropic,2026-06-26 (2026-04),2.B.2,Complex Problem Solving Skills,0.00825886012045604,0.0036620040938396357,2.25528424021956,9142248802.200888,0.25177396798269236
anthropic,2026-06-26 (2026-04),2.B.3,Technical Skills,0.04882648842008536,0.06297097473737243,0.7753808579861079,98767253495.4216,0.1581791272442067
anthropic,2026-06-26 (2026-04),2.B.4,Systems Skills,0.016276902118402575,0.006975006404167913,2.3336038958582628,19751284033.285492,0.28557970288615364
anthropic,2026-06-26 (2026-04),2.B.5,Resource Management Skills,0.0015475100653325245,0.00788471478073551,0.19626709505250717,9208947986.883144,0.11778789101338978
anthropic,2026-06-26 (2026-04),2.C.1,Business and Management,0.04081998716127339,0.04088972531240295,0.9982944822789405,82599491768.54169,0.20372287468042685
anthropic,2026-06-26 (2026-04),2.C.10,Transportation,0.0043325255028447696,0.004863480852904913,0.8908281195878444,8498087033.783956,0.17621812579763776
anthropic,2026-06-26 (2026-04),2.C.2,Manufacturing and Production,0.008484066284823994,0.008916299431466632,0.9515232580551032,16554659021.31476,0.18724585339560493
anthropic,2026-06-26 (2026-04),2.C.3,Engineering and Technology,0.027219009719066514,0.0259803340509516,1.0476774342348976,50488788923.2501,0.19598680643457894
anthropic,2026-06-26 (2026-04),2.C.4,Mathematics and Science,0.03389479584991236,0.03427051135770753,0.9890367697209552,64193500313.37402,0.18890658035706484
anthropic,2026-06-26 (2026-04),2.C.5,Health Services,0.007764057224454636,0.008689915658773785,0.8934559930527801,15686315892.123648,0.18204636389068848
anthropic,2026-06-26 (2026-04),2.C.6,Education and Training,0.007383732359469377,0.007076529492509395,1.0434115151056969,13603592510.759296,0.19386968607877533
anthropic,2026-06-26 (2026-04),2.C.7,Arts and Humanities,0.02540222268245092,0.023094883710640942,1.0999069318000885,44761120908.59326,0.1954617521416949
anthropic,2026-06-26 (2026-04),2.C.8,Law and Public Safety,0.011442777370155923,0.012404120066777557,0.9224981142196103,22975074487.937546,0.1867960035692708
anthropic,2026-06-26 (2026-04),2.C.9,Communications,0.012446739405327163,0.010911340631389068,1.140715868545168,22268786071.21782,0.20582353980797616
anthropic,2026-06-26 (2026-04),4.A.1,Information Input,0.011424475538990193,0.010949780138637987,1.0433520485655388,14339940713.392746,0.13207437690687474
anthropic,2026-06-26 (2026-04),4.A.2,Mental Processes,0.027118881998609054,0.01884688509575884,1.438905254678487,60516655060.891556,0.32382617210999887
anthropic,2026-06-26 (2026-04),4.A.3,Work Output,0.10120856864288277,0.10442666279209352,0.9691832137198738,175183515843.23212,0.1691836742709149
anthropic,2026-06-26 (2026-04),4.A.4,Interacting With Others,0.16801484148381998,0.17483586750862107,0.9609861173110561,345218342682.4822,0.19913149038481626
anthropic,2026-06-26 (2026-05),1.A.1,Cognitive Abilities,0.22730906950362312,0.18533835338524143,1.226454564593773,462301317651.52423,0.2515570219499856
anthropic,2026-06-26 (2026-05),1.A.2,Psychomotor Abilities,0.012872850218372747,0.036075229739033765,0.3568334924404984,30337303008.837547,0.08480949506208864
anthropic,2026-06-26 (2026-05),1.A.3,Physical Abilities,0.009834865253873533,0.03339455611856244,0.2945050450425601,23218835370.021954,0.07011991335256339
anthropic,2026-06-26 (2026-05),1.A.4,Sensory Abilities,0.0397265908041895,0.041981601521423315,0.9462857386209271,81355706908.29391,0.19543648121168608
anthropic,2026-06-26 (2026-05),2.A.1,Content,0.08529674517138155,0.0784580888627539,1.0871631772804262,184983306651.55646,0.23777786707283663
anthropic,2026-06-26 (2026-05),2.A.2,Process,0.038135074814795514,0.033593715890568275,1.135184775004371,78963092107.47083,0.23705150407099754
anthropic,2026-06-26 (2026-05),2.B.1,Social Skills,0.025761786235554477,0.02350941836566561,1.095807043579536,57689320594.48938,0.24747432788060786
anthropic,2026-06-26 (2026-05),2.B.2,Complex Problem Solving Skills,0.008142400605444888,0.0036620040938396357,2.223482114381671,10325604440.565517,0.28436312094186683
anthropic,2026-06-26 (2026-05),2.B.3,Technical Skills,0.0477601245972962,0.06297097473737243,0.7584466461966836,106120070618.01093,0.16995491480613736
anthropic,2026-06-26 (2026-05),2.B.4,Systems Skills,0.016404796995553358,0.006975006404167913,2.3519400621267783,22318384010.52867,0.32269686689152643
anthropic,2026-06-26 (2026-05),2.B.5,Resource Management Skills,0.0016305127152391474,0.00788471478073551,0.20679412769919475,9700947859.05147,0.12408086035191883
anthropic,2026-06-26 (2026-05),2.C.1,Business and Management,0.04075952901559397,0.04088972531240295,0.9968159165703789,90748241126.81924,0.22382089960496807
anthropic,2026-06-26 (2026-05),2.C.10,Transportation,0.0043423760152550405,0.004863480852904913,0.8928535233486894,9322210019.398014,0.1933073139142483
anthropic,2026-06-26 (2026-05),2.C.2,Manufacturing and Production,0.008459224465223963,0.008916299431466632,0.9487371448485007,18031343011.724922,0.2039482785934885
anthropic,2026-06-26 (2026-05),2.C.3,Engineering and Technology,0.02713362608264576,0.0259803340509516,1.0443909623884116,55011168494.60649,0.21354172800384966
anthropic,2026-06-26 (2026-05),2.C.4,Mathematics and Science,0.034053714279539675,0.03427051135770753,0.9936739467962712,70733144498.85286,0.20815123618358924
