year,state,award_level,awards_unexposed,awards_exposed,share_exposed
2023,ID,4,75.0,1.0,0.013157894736842105
2023,ID,5,7354.0,4713.0,0.39056932128946714
2023,ID,6,88.0,88.0,0.5
2023,ID,7,1526.0,876.0,0.3646960865945046
2023,ID,8,104.0,3.0,0.028037383177570093
2023,ID,17,76.0,88.0,0.5365853658536586
2023,ID,18,441.0,0.0,0.0
2023,ID,20,106.0,69.0,0.3942857142857143
2023,ID,21,1575.0,374.0,0.19189327860441252
2023,IL,2,8547.0,4954.0,0.36693578253462705
2023,IL,3,13975.0,3911.0,0.21866264117186626
2023,IL,4,567.0,0.0,0.0
2023,IL,5,38650.0,22499.0,0.36793733339874735
2023,IL,6,1028.0,1447.0,0.5846464646464646
2023,IL,7,25366.0,18935.0,0.42741698832983455
2023,IL,8,776.0,73.0,0.08598351001177856
2023,IL,17,1874.0,1321.0,0.4134585289514867
2023,IL,18,6079.0,6.0,0.0009860312243221035
2023,IL,19,175.0,0.0,0.0
2023,IL,20,10078.0,976.0,0.08829383028767866
2023,IL,21,13554.0,5420.0,0.2856540529145146
2023,IN,2,5832.0,3002.0,0.3398234095539959
2023,IN,3,7767.0,2809.0,0.26560136157337366
2023,IN,4,219.0,0.0,0.0
2023,IN,5,30132.0,16916.0,0.35954769597007313
2023,IN,6,1896.0,1063.0,0.3592429874957756
2023,IN,7,16054.0,9310.0,0.3670556694527677
2023,IN,8,776.0,58.0,0.06954436450839328
2023,IN,17,1299.0,792.0,0.3787661406025825
2023,IN,18,2324.0,104.0,0.042833607907743
2023,IN,19,6.0,61.0,0.9104477611940298
2023,IN,20,4174.0,301.0,0.06726256983240224
2023,IN,21,7500.0,6922.0,0.47996117043405906
2023,KS,2,4716.0,612.0,0.11486486486486487
2023,KS,3,3153.0,877.0,0.21761786600496277
2023,KS,4,0.0,0.0,
2023,KS,5,11532.0,5716.0,0.33140074211502785
2023,KS,6,399.0,347.0,0.4651474530831099
2023,KS,7,4199.0,3405.0,0.44779063650710155
2023,KS,8,243.0,47.0,0.16206896551724137
2023,KS,17,396.0,290.0,0.4227405247813411
2023,KS,18,1088.0,1.0,0.0009182736455463728
2023,KS,19,2.0,0.0,0.0
2023,KS,20,4244.0,92.0,0.021217712177121772
2023,KS,21,3364.0,671.0,0.16629491945477076
2023,KY,2,4283.0,841.0,0.1641295862607338
