release,state_abbr,usage_share,state_fips,employment_share,usage_per_worker_index
2026-01-15,MS,0.0025356677865486688,28,0.00744691741495622,0.3404989803507275
2026-01-15,MT,0.0017481084919832828,30,0.0032450592779910688,0.5386984773558562
2026-01-15,NC,0.027965183505867998,37,0.03163931169053707,0.8838745854964993
2026-01-15,ND,0.000942339733959738,38,0.0027060708308394325,0.34823173259933515
2026-01-15,NE,0.003382407837353072,31,0.006557736160013839,0.5157889483229734
2026-01-15,NH,0.003710178179599938,33,0.0042818408466426885,0.8664913789378742
2026-01-15,NJ,0.023531179153806234,34,0.027448712307659967,0.857278071556002
2026-01-15,NM,0.0025174583230905103,35,0.005479303709186772,0.45944858264922617
2026-01-15,NV,0.008390010288346853,32,0.00976107947632606,0.859537135077681
2026-01-15,NY,0.15741625922992178,36,0.06140290193410427,2.563661557866697
2026-01-15,OH,0.02020339970682764,39,0.03577062364581756,0.5648042345269509
2026-01-15,OK,0.005672247867216593,40,0.010929777198367728,0.5189719574579889
2026-01-15,OR,0.01397121083827265,41,0.012661738022328908,1.1034196737947424
2026-01-15,PA,0.030173080950169805,42,0.03900579083929196,0.7735538826654261
2026-01-15,RI,0.003063742226835286,44,0.003074095422561541,0.996632116345423
2026-01-15,SC,0.007069824187630311,45,0.014659613697178954,0.48226538118059714
2026-01-15,SD,0.001151748563728569,46,0.00289812044537028,0.39741224888305676
2026-01-15,TN,0.013798220935420137,47,0.021198411721703645,0.650908243342262
2026-01-15,TX,0.07118079265794433,48,0.0894267868928058,0.7959672390250072
2026-01-15,UT,0.011330838636839565,49,0.010939278805864002,1.0357939346756266
2026-01-15,VA,0.034629847131554266,51,0.02612883489922211,1.3253498391765353
2026-01-15,VT,0.002125954858740087,50,0.0019020135663431197,1.1177390615712195
2026-01-15,WA,0.03218067429643186,53,0.022902453438706595,1.4051190796023836
2026-01-15,WI,0.010456784390847924,55,0.01897763874771156,0.5510055560578561
2026-01-15,WV,0.001265557710342064,54,0.004519511193056329,0.28002092622017116
2026-01-15,WY,0.003482559886372948,56,0.0017738720241502227,1.9632531766440569
2026-03-24,AK,0.001083769539330491,02,0.002028918597971433,0.5341611735503202
2026-03-24,AL,0.007343550446998723,01,0.013365833169604149,0.5494270618085393
2026-03-24,AR,0.003638047955677873,05,0.008283839828669096,0.4391741065643433
2026-03-24,AZ,0.018909754825247784,04,0.020612045396077437,0.9174128264265512
2026-03-24,CA,0.18454661558109836,06,0.11677163231304075,1.5804062333081619
2026-03-24,CO,0.027022286978576438,08,0.018398561326466056,1.468717390402981
2026-03-24,CT,0.011246919576205638,09,0.0107662974858291,1.0446413533537546
2026-03-24,DC,0.009821380389617398,11,0.004444084048616732,2.209989793661622
2026-03-24,DE,0.002405878437932833,10,0.0029577983499872867,0.8134017783677423
2026-03-24,FL,0.060731566923893296,12,0.06336739182371055,0.9584040809640678
2026-03-24,GA,0.03230172863490008,13,0.031070972387352423,1.0396111274601962
2026-03-24,GU,0.000116921195114492,66,0.00032533243749227587,0.3593899090288775
2026-03-24,HI,0.004105732736135844,15,0.003912384505845799,1.0494195368581867
2026-03-24,IA,0.004393538754879211,19,0.010108929421994439,0.43461958942160556
2026-03-24,ID,0.0039438418505927,16,0.00538161937458467,0.7328355233032563
2026-03-24,IL,0.03684366736819384,17,0.03892079700785269,0.9466318832258299
2026-03-24,IN,0.013315525335923587,18,0.02065701533292624,0.6446006415408577
2026-03-24,KS,0.0054818052632525675,20,0.009261919685254695,0.5918649102496317
2026-03-24,KY,0.005657187055924306,21,0.012882162300341778,0.43914887299426547
2026-03-24,LA,0.00624179303149677,22,0.0123313293835715,0.5061735711814205
2026-03-24,MA,0.034541219218246905,25,0.02333458134127685,1.4802587932934748
2026-03-24,MD,0.01959779108880615,24,0.01766928041137535,1.1091448340017989
2026-03-24,ME,0.002612739013904628,23,0.004057641957432669,0.6439057564255244
2026-03-24,MI,0.02006997283830698,26,0.028479376402992067,0.7047195329810105
2026-03-24,MN,0.013630313168924147,27,0.018926291019529643,0.7201787796065966
2026-03-24,MO,0.011512240749734679,29,0.01878057801141898,0.6129864982182657
2026-03-24,MS,0.002374399654632777,28,0.00744691741495622,0.3188432907640531
2026-03-24,MT,0.0016773694529886851,30,0.0032450592779910688,0.5168994798847252
2026-03-24,NC,0.030305074379867968,37,0.03163931169053707,0.9578297617938334
2026-03-24,ND,0.0008409332110157749,38,0.0027060708308394325,0.31075801912949724
2026-03-24,NE,0.003808932779306747,31,0.006557736160013839,0.5808304400125041
2026-03-24,NH,0.004159696364650226,33,0.0042818408466426885,0.9714738388540914
2026-03-24,NJ,0.026977317288147788,34,0.027448712307659967,0.9828263339194739
2026-03-24,NM,0.0027926177756192327,35,0.005479303709186772,0.5096665422902261
2026-03-24,NV,0.008058568524814276,32,0.00976107947632606,0.8255816935369747
2026-03-24,NY,0.09223283506916341,36,0.06140290193410427,1.502092444558156
2026-03-24,OH,0.02268271185221161,39,0.03577062364581756,0.6341156384860447
2026-03-24,OK,0.006016944579353516,40,0.010929777198367728,0.5505093534982668
2026-03-24,OR,0.013252567769323476,41,0.012661738022328908,1.0466626102950987
2026-03-24,PA,0.0347345888870901,42,0.03900579083929196,0.8904982603788327
2026-03-24,PR,0.002639720828161819,72,0.005979960328836318,0.44142781607307097
2026-03-24,RI,0.003332254060763046,44,0.003074095422561541,1.0839787328352968
2026-03-24,SC,0.0074874534563704066,45,0.014659613697178954,0.5107538036838766
2026-03-24,SD,0.001002824096558919,46,0.00289812044537028,0.3460256795610138
2026-03-24,TN,0.014493731225154245,47,0.021198411721703645,0.6837177905321594
2026-03-24,TX,0.08200672746568813,48,0.0894267868928058,0.9170264337461665
2026-03-24,UT,0.013391973809652296,49,0.010939278805864002,1.2242099362595573
2026-03-24,VA,0.03342597089561635,51,0.02612883489922211,1.2792752154674714
2026-03-24,VI,8.5442411814437e-05,78,0.0001859321412113287,0.45953545878506274
2026-03-24,VT,0.0019112118432176712,50,0.0019020135663431197,1.0048360732212003
2026-03-24,WA,0.03749572787940928,53,0.022902453438706595,1.6371926256616303
2026-03-24,WI,0.01116597413343407,55,0.01897763874771156,0.5883753127496186
2026-03-24,WV,0.001421042217545374,54,0.004519511193056329,0.3144238739199562
2026-03-24,WY,0.001951684564603457,56,0.0017738720241502227,1.1002397794386638
